time	rating	text	media
Thu Feb 16 01:04:13 +0000 2017	 12	This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10… https://t.co/6vBLBkAq1G	
Wed Feb 15 18:03:45 +0000 2017	 12	@UNC can confirm 12/10	
Wed Feb 15 01:04:21 +0000 2017	 13	This is Daisy. She has a heart on her butt. 13/10 topical af https://t.co/u6p4LxzHKg	http://pbs.twimg.com/media/C4qv3JUW8AADirb.jpg
Tue Feb 14 23:43:18 +0000 2017	 13	I usually only share these on Friday's, but this is Blue. He's a very smoochable pooch who needs your help. 13/10… https://t.co/jcfRHUrToh	
Tue Feb 14 02:02:51 +0000 2017	 12	This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK	http://pbs.twimg.com/media/C4lzqQ4UEAApzU0.jpg
Tue Feb 14 01:09:44 +0000 2017	 12	This is Scooter and his son Montoya.  Scooter is a wonderful father. He takes very good care of Montoya. Both 12/10… https://t.co/CAFr8SiFl9	
Mon Feb 13 22:03:49 +0000 2017	 12	This is Tucker. He's feeling h*ckin festive and his owners don't have the heart to tell him Christmas is over. 12/10 https://t.co/zqR5XKMpuY	http://pbs.twimg.com/media/C4k88lGVMAEKNzb.jpg
Mon Feb 13 01:46:03 +0000 2017	 12	Say hello to Reggie. He hates puns. 12/10 lighten pup Reggie https://t.co/X4vNEzAod5	http://pbs.twimg.com/ext_tw_video_thumb/830956118893543424/pu/img/t2G0raF7pDPRMAH5.jpg
Sun Feb 12 01:04:29 +0000 2017	 13	This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5	http://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg
Fri Feb 10 16:53:37 +0000 2017	 13	Meet Samson. He's absolute fluffy perfection. Easily 13/10, but he needs your help. Click the link to find out more… https://t.co/1hPFQL9xpK	
Fri Feb 10 01:15:49 +0000 2017	 12	This is Mia. She already knows she's a good dog. You don't have to tell her. 12/10 would probably tell her anyway https://t.co/xeudgDXmTU	http://pbs.twimg.com/media/C4RCiIHWYAAwgJM.jpg
Thu Feb 09 01:27:41 +0000 2017	 12	This is Leo. He was a skater pup. She said see ya later pup. He wasn't good enough for her. 12/10 you're good enoug… https://t.co/hzjGiTmhgj	
Wed Feb 08 17:00:26 +0000 2017	 13	This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao	http://pbs.twimg.com/media/C4KHj-nWQAA3poV.jpg
Wed Feb 08 01:35:19 +0000 2017	 12	This is Malcolm. He goes from sneaky tongue slip to flirt wink city in a matter of seconds. 12/10 would hug softly https://t.co/rHwfySggqR	http://pbs.twimg.com/media/C4GzztRWMAEB6U0.jpg
